idno,Event,Site,Date,Round,WhitePlayer,BlackPlayer,Result,WhiteELO,BlackELO,ECO,WhiteRooks7th,BlackRooks7th,Caro,Slav
13913154, Earl tourn, ?, 1906.??.??, ?, Savrov, Alekhine Alexander, -1, ?, ?, C30, 0, 0, 0, 0, 
79034979, Earl tourn, ?, 1906.??.??, ?, Giese, Alekhine Alexander, -1, ?, ?, C47, 0, 0, 0, 0, 
45480091, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Ljubimov T., 1, ?, ?, C58, 0, 0, 0, 0, 
52151016, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Romaskevic, 1, ?, ?, C20, 0, 0, 0, 0, 
87016303, Earl tourn, ?, 1906.??.??, ?, Manko V., Alekhine Alexander, 1, ?, ?, C52, 0, 0, 0, 0, 
53186835, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Sachovskoj, 1, ?, ?, C52, 0, 0, 0, 0, 
72639291, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Savrov, 0, ?, ?, C22, 0, 0, 0, 0, 
18948653, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Zubakin N., -1, ?, ?, C33, 0, 0, 0, 0, 
69009801, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Zukovskij, 0, ?, ?, C51, 0, 0, 0, 0, 
41971593, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Giese, 1, ?, ?, C29, 0, 0, 0, 0, 
60893491, Earl tourn, ?, 1906.??.??, ?, Romaskevic, Alekhine Alexander, -1, ?, ?, C51, 0, 0, 0, 0, 
60174101, Earl tourn, ?, 1906.??.??, ?, Sachovskoj, Alekhine Alexander, -1, ?, ?, C38, 0, 0, 0, 0, 
21564619, Earl tourn, ?, 1906.??.??, ?, Alekhine Alexander, Vjachirev, 0, ?, ?, C80, 0, 0, 1, 0, 
20307528, Earl tourn, ?, 1906.??.??, ?, Zubakin N., Alekhine Alexander, 0, ?, ?, C55, 0, 0, 0, 0, 
19139687, Earl tourn, ?, 1906.??.??, ?, Zukovskij, Alekhine Alexander, -1, ?, ?, B13, 0, 0, 0, 0, 
47395253, corr, ?, 1907.??.??, ?, Alekhine Alexander, Manko V., 1, ?, ?, C47, 0, 0, 0, 0, 
86612965, corr, ?, 1907.??.??, ?, Viakhirev Apollon, Alekhine Alexander, -1, ?, ?, C28, 0, 0, 0, 0, 
31331941, Moscow, Moscow, 1907.??.??, ?, Alekhine Alexander, Rosanov Lev I, 1, ?, ?, C47, 0, 0, 0, 0, 
50172392, Duesseldorf, Duesseldorf, 1908.??.??, ?, Von Bardeleben Curt, Alekhine Alexander, -1, ?, ?, C41, 0, 0, 0, 0, 
41729992, Duesseldorf, Duesseldorf, 1908.??.??, ?, Alekhine Alexander, Neumann Augustin, -1, ?, ?, C78, 0, 0, 0, 0, 
15306787, Duesseldorf, Duesseldorf, 1908.??.??, ?, Alekhine Alexander, Koehnlein H., 1, ?, ?, D05, 0, 0, 0, 0, 
77201126, Duesseldorf, Duesseldorf, 1908.??.??, 1, Lasker Edward, Alekhine Alexander, -1, ?, ?, C41, 0, 0, 0, 0, 
40665550, Duesseldorf, Duesseldorf, 1908.??.??, 2, Alekhine Alexander, Kunze O., 1, ?, ?, C01, 0, 0, 0, 0, 
46178698, Duesseldorf, Duesseldorf, 1908.??.??, 3, Trcala St, Alekhine Alexander, -1, ?, ?, C77, 0, 0, 0, 0, 
97868078, Duesseldorf, Duesseldorf, 1908.??.??, 9, Wiarda A., Alekhine Alexander, 1, ?, ?, C63, 0, 0, 0, 0, 
37382149, Duesseldorf, Duesseldorf, 1908.??.??, 10, Alekhine Alexander, Gajdos Janos, 1, ?, ?, D32, 0, 0, 0, 0, 
61902173, All-Russian, St Petersburg, 1909.??.??, 1, Alekhine Alexander, Izbinsky Stefan, 1, ?, ?, B46, 0, 0, 0, 0, 
45318279, All-Russian+, St Petersburg, 1909.??.??, 2, Goldfarb J., Alekhine Alexander, -1, ?, ?, C01, 0, 0, 0, 0, 
42158411, All-Russian+, St Petersburg, 1909.??.??, 3, Alekhine Alexander, Rozanov V., 1, ?, ?, A40, 0, 0, 0, 0, 
21894522, All-Russian, St Petersburg, 1909.??.??, 4, Tschepurnoff Anatol Aleksievitis, Alekhine Alexander, 0, ?, ?, C00, 0, 0, 0, 0, 
4371640, All-Russian, St Petersburg, 1909.??.??, 5, Alekhine Alexander, Evtifeev Peter Artemievich, 1, ?, ?, D00, 0, 0, 0, 1, 
14304558, All-Russian, St Petersburg, 1909.??.??, 6, Tereshchenko Nikolay Semenovich, Alekhine Alexander, -1, ?, ?, A44, 0, 0, 0, 0, 
63928552, All-Russian, St Petersburg, 1909.??.??, 7, Alekhine Alexander, Gregory Bernhard, 1, ?, ?, C28, 0, 0, 0, 0, 
34203078, All-Russian, St Petersburg, 1909.??.??, 8, Verlinsky Boris, Alekhine Alexander, -1, ?, ?, C68, 0, 0, 0, 0, 
91323617, All-Russian, St Petersburg, 1909.??.??, 10, Alekhine Alexander, Romanovsky Peter Arsenievich, -1, ?, ?, C26, 0, 0, 0, 0, 
37584846, All-Russian, St Petersburg, 1909.??.??, 11, Eljaschoff Moissei Zacharowits, Alekhine Alexander, -1, ?, ?, C01, 0, 0, 0, 0, 
81298943, All-Russian, St Petersburg, 1909.??.??, 12, Alekhine Alexander, Nikolaev B., 1, ?, ?, C28, 0, 0, 0, 0, 
96796747, All-Russian, St Petersburg, 1909.??.??, 13, Lebedev Sergey Fedorovich, Alekhine Alexander, 0, ?, ?, A40, 0, 0, 0, 0, 
3573821, All-Russian, St Petersburg, 1909.??.??, 14, Alekhine Alexander, Viakhirev Apollon, 1, ?, ?, A84, 0, 0, 0, 0, 
88650626, All-Russian, St Petersburg, 1909.??.??, 15, Rosenkrantz Karl Wilhelm, Alekhine Alexander, -1, ?, ?, C14, 0, 0, 0, 0, 
87507517, All-Russian, St Petersburg, 1909.??.??, 16, Alekhine Alexander, Helbach Grigory, 1, ?, ?, C68, 0, 0, 0, 0, 
15589006, All-Russian, St Petersburg, 1909.??.??, 17, Rotlewi Georg A, Alekhine Alexander, -1, ?, ?, A40, 0, 0, 0, 0, 
77772847, All-Russian, St Petersburg, 1909.??.??, 18, Alekhine Alexander, Daniuszewski Dawid, -1, ?, ?, C28, 0, 0, 0, 0, 
72352491, All-Russian, St Petersburg, 1909.??.??, 19, Maliutin Boris Evgenievich, Alekhine Alexander, -1, ?, ?, C12, 0, 0, 0, 0, 
67168560, DSB-17.Kongress, Hamburg, 1910.??.??, 1, Schlechter Carl, Alekhine Alexander, 1, ?, ?, C41, 0, 0, 0, 0, 
85319119, DSB-17.Kongress+, Hamburg, 1910.??.??, 2, Alekhine Alexander, Jacob Franz, 0, ?, ?, D00, 0, 0, 0, 0, 
16987522, DSB-17.Kongress, Hamburg, 1910.??.??, 3, Speijer Abraham, Alekhine Alexander, -1, ?, ?, C15, 0, 0, 0, 0, 
28924276, DSB-17.Kongress, Hamburg, 1910.??.??, 4, Alekhine Alexander, Koehnlein Friedrich, 0, ?, ?, C30, 0, 1, 0, 0, 
44862803, DSB-17.Kongress, Hamburg, 1910.??.??, 5, Dus Chotimirsky Fedor Ivanovich, Alekhine Alexander, 0, ?, ?, A85, 0, 0, 0, 0, 
7774384, DSB-17.Kongress, Hamburg, 1910.??.??, 6, Alekhine Alexander, Leonhardt Paul Saladin, 1, ?, ?, D30, 0, 0, 0, 0, 
69757198, DSB-17.Kongress, Hamburg, 1910.??.??, 7, Spielmann Rudolf, Alekhine Alexander, 0, ?, ?, C77, 0, 0, 0, 0, 
55120500, DSB-17.Kongress, Hamburg, 1910.??.??, 8, Alekhine Alexander, Duras Oldrich, -1, ?, ?, D30, 0, 0, 0, 0, 
2830623, DSB-17.Kongress, Hamburg, 1910.??.??, 9, Nimzowitsch Aaron , Alekhine Alexander, 0, ?, ?, A80, 0, 0, 0, 0, 
66019256, DSB-17.Kongress, Hamburg, 1910.??.??, 10, Alekhine Alexander, Teichmann Richard, 0, ?, ?, C77, 0, 0, 0, 0, 
97349063, DSB-17.Kongress, Hamburg, 1910.??.??, 11, John Walter, Alekhine Alexander, -1, ?, ?, D02, 0, 0, 0, 0, 
74448546, DSB-17.Kongress, Hamburg, 1910.??.??, 12, Tarrasch Siegbert, Alekhine Alexander, 1, ?, ?, D40, 0, 0, 0, 0, 
48105043, DSB-17.Kongress, Hamburg, 1910.??.??, 13, Alekhine Alexander, Yates Frederick, 1, ?, ?, D55, 0, 0, 0, 0, 
844409, DSB-17.Kongress, Hamburg, 1910.??.??, 14, Forgacs Leo, Alekhine Alexander, 1, ?, ?, C78, 0, 0, 0, 0, 
18310155, DSB-17.Kongress, Hamburg, 1910.??.??, 15, Alekhine Alexander, Tartakower Saviely, 1, ?, ?, A85, 0, 0, 0, 0, 
49173579, DSB-17.Kongress, Hamburg, 1910.??.??, 16, Marshall Frank James, Alekhine Alexander, 0, ?, ?, D46, 0, 0, 0, 0, 
3501931, DSB-17.Kongress, Hamburg, 1910.??.??, 17, Alekhine Alexander, Salwe Georg, 0, ?, ?, E12, 0, 0, 0, 0, 
53931100, Cologne, Cologne, 1911.??.??, ?, Rotlewi Georg A, Alekhine Alexander, -1, ?, ?, A84, 0, 0, 0, 0, 
85929951, Cologne, Cologne, 1911.??.??, ?, Alekhine Alexander, Freymann S., 1, ?, ?, C66, 0, 0, 0, 0, 
42079931, Cologne, Cologne, 1911.??.??, ?, Alekhine Alexander, Tenner Oscar, 1, ?, ?, C30, 0, 0, 0, 0, 
35284137, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Chajes Oscar, 1, ?, ?, B40, 0, 0, 0, 0, 
41827297, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Cohn Erich, 1, ?, ?, C46, 0, 0, 0, 0, 
3689442, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Dus Chotimirsky Fedor Ivanovich, 1, ?, ?, A22, 0, 0, 0, 0, 
14383349, Karlsbad, Karlsbad, 1911.??.??, ?, Alekhine Alexander, Fahrni Hans, 0, ?, ?, C01, 0, 0, 0, 0, 
